SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Cia de Pesquisa de Recursos Minerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;27/4/2010 09:55:51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ1002726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;Fosfato Brasil - C.C. 4068.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 1543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/4/2010 09:55:51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Method;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;CLA80C
;Analyte;Al2O3;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;LOI;Sum;Ba;Be;Cs;Ga;Hf;Nb;Rb;Sn;Sr;Ta;Th;U;W;Y;Zr;Ag;Au;As;Bi;Cd;Co;Cu;Hg;Mo;Ni;Pb;Sb;Se;Zn;Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb;FeO
;Unit;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%
;MDL;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;5;0,1;0,05;0,1;0,05;0,05;0,2;0,3;0,5;0,05;0,1;0,05;0,1;0,05;0,5;0,01;0,1;1;0,02;0,01;0,1;0,5;0,01;0,05;0,5;0,2;0,05;1;1;0,1;0,05;0,05;0,05;0,05;0,05;0,1;0,05;0,1;0,05;0,1;0,05;0,05;0,1;0,14
Sample;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;ROCHA;0,08;0,42;<0.01;1,21;<0.01;0,04;0,03;<0.01;<0.01;>90;<0.01;0,09;103,11;<5;0,7;<0.05;<0.1;0,05;0,09;<0.2;1,6;1,1;0,19;<0.1;<0.05;<0.1;<0.05;2,6;0,02;<0.1;<1;<0.02;<0.01;1,1;5,8;<0.01;0,75;3,8;0,8;0,13;<1;<1;0,6;<0.05;<0.05;<0.05;<0.05;<0.05;<0.1;<0.05;<0.1;<0.05;0,1;<0.05;<0.05;<0.1;1
MA-R-113D - (IBX-397);ROCHA;0,03;26,97;<0.01;0,1;<0.01;20,01;0,01;0,11;0,02;10,39;<0.01;41,71;99,33;63;<0.1;0,7;<0.1;0,74;1,87;72,3;1,4;36,7;1,77;3,5;0,42;4,7;7,25;1,5;0,04;<0.1;<1;<0.02;0,19;0,8;2,7;<0.01;0,1;8,8;0,9;<0.05;<1;3;8,2;2,8;2,36;3,81;3,61;2,35;11;0,62;6,5;6,27;4,1;3,01;0,24;1,7;0,14
MA-R-113E - (IBX-398);ROCHA;1,73;50,47;<0.01;0,34;<0.01;0,17;<0.01;0,13;>25;1,28;0,05;1,32;98,74;157;0,4;0,12;1,6;0,67;1,29;<0.2;1,1;992;0,14;1,4;11,54;1,9;19,45;16,3;0,03;<0.1;4;<0.02;2,53;2,4;5,9;0,1;1,08;14,4;3,6;0,22;<1;98;17,3;1,84;1,27;0,24;1,94;0,44;7,7;0,36;7,4;1,66;1,7;0,29;0,22;1,4;0,57
MA-R-116 - (IBX-399);ROCHA;13,49;0,96;<0.01;4,42;2,03;1,85;0,08;3,43;0,24;71,56;0,66;1,65;100,38;428;1,9;5,99;15,6;5,43;11,34;88,3;3,8;70;1,04;8,8;2,06;0,5;36,43;169;0,07;<0.1;2;0,1;0,31;10,4;41,5;<0.01;0,24;43,5;7,2;0,62;<1;120;51,2;5,32;3,13;0,9;5,56;1,03;32,1;0,8;30;7,75;5,7;0,84;0,49;2,7;2,14
MA-R-117A - (IBX-400);ROCHA;5,15;22,13;<0.01;1,86;1,47;16,45;0,05;0,11;0,3;14,93;0,27;35,42;98,14;105;1,6;4,09;6,7;1,4;4,93;58,1;2,4;54,6;0,37;3,5;0,97;1;7,09;42,8;0,05;<0.1;5;0,03;0,07;6,1;10;<0.01;0,13;18,2;10,8;0,2;<1;21;19,9;0,99;0,64;0,26;1,36;0,25;12,2;0,15;9;2,28;1,5;0,21;0,1;0,6;0,57
MA-R-117B - (IBX-401);ROCHA;13,23;6,54;<0.01;4,14;3,91;6,83;0,07;0,11;0,16;51,16;0,75;12,8;99,7;412;2,5;13,2;17,9;3,81;13,75;168;1,5;27,5;0,83;8,4;1,46;0,8;16,35;120;0,03;<0.1;11;0,28;0,03;11,2;17,2;<0.01;0,17;36,6;14,1;0,42;<1;67;45,1;2,97;1,76;0,46;3,13;0,6;24,7;0,36;19,3;5,29;3,6;0,44;0,32;2;1,13
