SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Cia de Pesquisa de Recursos Minerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;20/09/2011 14:22:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GY1101236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;C.C.4068-087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 1619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;16/09/2011 14:22:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A
;;Analyte;Umido;Seco;Cont massa B;Passante;Retido;Granul 2mm;Entrada Pu;Saida Pu;Controle Massa Pu;Retido 150;Granulometria_150;Al2O3;Ba;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;Nb;P2O5;SiO2;Sr;TiO2;Y;Zn;Zr;LOI;Sum;Ag;Ce;Co;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Lu;Mo;Nb;Nd;Ni;Pr;Rb;Sm;Sn;Ta;Tb;Th;Tl;Tm;U;V;W;Yb
;;Unit;g;g;%;g;g;%;g;g;%;g;%;%;ppm;%;%;%;%;%;%;%;ppm;%;%;ppm;%;ppm;ppm;ppm;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0;0;0,01;10;0,01;0,01;0,01;0,01;0,01;0,01;0,01;10;0,01;0,01;10;0,01;10;5;10;0,01;0,01;1;0,1;0,5;0,05;5;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,1;0,05;2;0,05;0,1;5;0,05;0,2;0,1;0,3;0,05;0,05;0,1;0,5;0,05;0,05;5;0,1;0,1
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;<10;0,04;<0.01;0,77;0,01;<0.01;<0.01;0,02;<10;<0.01;>90;<10;<0.01;<10;<5;10;0,32;98,99;<1;1,4;1,5;<0.05;<5;0,31;0,08;<0.05;<0.1;0,16;0,37;<0.05;4,8;0,08;<2;<0.05;1,6;<5;0,18;<0.2;0,1;<0.3;<0.05;<0.05;0,7;<0.5;<0.05;0,06;<5;<0.1;<0.1
VC-R-002-A;ICC0407;ROCHA;1190;1190;97,9;1015;150;12,88;310;310;100;1;0,32;0,3;14;27,23;<0.01;0,26;0,12;18,55;0,02;0,05;<10;0,05;7,08;51;0,02;<10;10;13;43,24;96,94;<1;16,4;2,2;<0.05;11;1,07;0,48;<0.05;8,4;1,15;0,48;0,17;34,1;0,06;<2;<0.05;8,1;64;1,87;2;1,1;<0.3;<0.05;<0.05;0,6;<0.5;<0.05;0,5;386;<0.1;<0.1
VC-R-002-B;ICC0408;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,76;159;27,54;<0.01;1,53;0,49;17,55;0,36;0,1;<10;0,19;9,02;145;0,08;18;15;36;41,31;99,93;<1;20,2;6;0,39;8;2,9;1,2;0,15;11,8;2,01;0,79;0,31;15,2;0,12;<2;<0.05;10,1;26;2,07;10,9;2,1;<0.3;<0.05;0,21;1,2;<0.5;<0.05;1,04;44;<0.1;1
VC-R-003;ICC0409;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;<10;30,47;<0.01;0,18;0,06;21,04;0,01;0,05;<10;0,06;2,62;39;0,01;<10;6;18;45,48;100,1;<1;5;1,1;<0.05;7;0,32;0,24;<0.05;9,8;<0.05;0,15;<0.05;14,2;<0.05;<2;<0.05;1,5;35;0,24;<0.2;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,82;221;<0.1;<0.1
VC-R-004;ICC0410;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,54;24;29,08;<0.01;0,28;0,21;18,53;0,02;0,06;<10;0,36;4,93;58;0,03;<10;<5;15;43,8;97,84;<1;9,5;3,3;0,08;9;0,82;0,53;<0.05;9,2;0,43;0,27;<0.05;10,2;<0.05;<2;<0.05;4,7;18;0,7;3,9;0,8;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;1,52;42;<0.1;<0.1
VC-R-004-B;ICC0411;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,18;63;25,09;<0.01;0,87;0,34;14,97;0,03;0,12;<10;0,11;18,56;230;0,06;<10;53;19;37,48;98,82;<1;15,5;2,1;0,3;10;0,83;0,79;<0.05;10,6;0,75;0,51;0,06;17,5;<0.05;<2;<0.05;9;31;1,67;9,9;1,1;<0.3;<0.05;<0.05;0,4;<0.5;<0.05;0,79;132;<0.1;0,1
