SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;18/08/2014 11:22:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GY1400661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;4068.087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 1770-SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;15/08/2014 11:22:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;CLA80C;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A
;;Analyte;Ba;Be;Ce;Co;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Lu;Mo;Nb;Nd;Ni;Pr;Rb;Sm;Sn;Sr;Ta;Tb;Th;Tl;Tm;U;W;Y;Yb;Zr;FeO;Al2O3;CaO;Cr2O3;Fe2O3;K2O;LOI;MgO;MnO;Na2O;P2O5;SiO2;TiO2;Sum
;;Unit;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;%;%;%;%;%;%;%;%;%;%;%;%;%
;;MDL;5;0,1;0,1;0,5;0,05;5;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,1;0,05;2;0,05;0,1;5;0,05;0,2;0,1;0,3;0,5;0,05;0,05;0,1;0,5;0,05;0,05;0,1;0,05;0,1;0,5;0,14;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;FOSFATO;<5;<0.1;<0.1;<0.5;<0.05;<5; 0,06;<0.05;<0.05;1,0;<0.05;<0.05;<0.05;<0.1;<0.05;<2;<0.05;<0.1;<5;<0.05;<0.2;<0.1;<0.3;2,6;<0.05;<0.05;<0.1;<0.5;<0.05;<0.05;<0.1;<0.05;<0.1;<0.5;  1,06;<0.01;<0.01;<0.01;1,29;<0.01;<0.01;<0.01;<0.01;<0.01;<0.01;>90;<0.01;N.A.
ICK-325;;FOSFATO;12;<0.1;3,4;0,8;<0.05;9; 0,15; 0,10; 0,06;0,3; 0,23;<0.05;<0.05;4,6;<0.05;<2; 3,85;1,4;9; 0,34;1,3;0,2;<0.3;100,8;<0.05;<0.05;<0.1;<0.5;<0.05; 0,74;0,6; 1,20;<0.1;2,4;<0.14;0,04;32,78;<0.01;0,21;0,05;45,63;18,22;<0.01;0,01;<0.01;1,37;<0.01;98,25
ICK-326;;FOSFATO;7;<0.1;1,2;0,6;<0.05;5;<0.05;<0.05;<0.05;0,3;<0.05;<0.05;<0.05;2,0;<0.05;<2; 1,36;0,5;9; 0,07;0,2;<0.1;<0.3;29,4;<0.05;<0.05;<0.1;<0.5;<0.05; 0,09;0,7; 0,28;<0.1;1,4;  0,21;<0.01;25,25;<0.01;0,32;<0.01;38,80;17,09;<0.01;<0.01;0,03;17,73;<0.01;99,15
ICK-327;;FOSFATO;5;<0.1;1,6;0,6;<0.05;6; 0,06;<0.05;<0.05;0,3;<0.05;<0.05;<0.05;6,4;<0.05;<2; 0,81;0,4;9; 0,11;<0.2;<0.1;<0.3;19,7;<0.05;<0.05;<0.1;<0.5;<0.05; 0,10;0,5; 0,54;<0.1;1,5;  0,35;<0.01;20,40;<0.01;0,50;<0.01;30,37;13,74;<0.01;<0.01;0,03;37,13;<0.01;102,10
ICK-328;;FOSFATO;5;<0.1;1,4;0,7;<0.05;6; 0,07; 0,07;<0.05;0,5; 0,09;<0.05;<0.05;4,5;<0.05;<2; 0,91;0,3;18; 0,09;<0.2;<0.1;<0.3;20,7;<0.05;<0.05;<0.1;<0.5;<0.05; 0,17;0,5; 0,61;<0.1;0,8;  0,32;0,11;20,06;<0.01;0,52;<0.01;30,51;13,67;0,04;<0.01;0,08;37,06;<0.01;101,91
ICK-329;;FOSFATO;8;0,1;1,4;0,5; 0,06;11; 0,12; 0,05;<0.05;<0.1; 0,14; 0,11;<0.05;4,6;<0.05;<2; 1,00;0,3;7; 0,15;0,2;<0.1;<0.3;39,6; 0,39;<0.05;0,2;0,7; 0,06; 0,15;1,7; 0,59;<0.1;1,2;<0.14;<0.01;30,71;<0.01;0,18;<0.01;45,88;20,67;<0.01;<0.01;0,03;1,45;<0.01;98,85
ICK-330;;FOSFATO;9;0,2;0,9;0,5;<0.05;8; 0,09; 0,06;<0.05;0,2;<0.05;<0.05;<0.05;4,0;<0.05;<2; 0,74;0,3;8; 0,12;<0.2;<0.1;<0.3;20,4; 0,23;<0.05;<0.1;<0.5;<0.05; 0,10;0,7; 0,40;<0.1;<0.5;<0.14;0,11;28,88;<0.01;0,26;<0.01;46,50;19,44;0,04;<0.01;0,03;0,21;<0.01;95,32
ICK-331;;FOSFATO;13;<0.1;1,6;1,2;<0.05;11; 0,09;<0.05;<0.05;0,4; 0,12;<0.05;<0.05;6,3;<0.05;<2; 0,33;0,5;17; 0,15;0,5;<0.1;<0.3;78,9; 0,07;<0.05;<0.1;<0.5;<0.05; 0,50;0,4; 0,63;<0.1;0,7;<0.14;<0.01;34,43;<0.01;0,16;<0.01;46,06;18,46;<0.01;0,02;0,07;0,20;<0.01;99,35
ICK-332;;FOSFATO;<5;<0.1;0,3;0,8;<0.05;8;<0.05;<0.05;<0.05;0,3;<0.05;<0.05;<0.05;1,0;<0.05;<2; 0,09;<0.1;12;<0.05;<0.2;<0.1;<0.3;29,1;<0.05;<0.05;<0.1;<0.5;<0.05; 0,05;0,3; 0,12;<0.1;<0.5;<0.14;<0.01;31,86;<0.01;0,17;<0.01;46,13;21,31;<0.01;0,01;<0.01;1,14;<0.01;100,53
ICK-333;;FOSFATO;<5;<0.1;0,5;0,8;<0.05;8;<0.05;<0.05;<0.05;0,6; 0,06;<0.05;<0.05;1,4;<0.05;<2; 0,26;<0.1;11;<0.05;<0.2;<0.1;<0.3;27,4;<0.05;<0.05;<0.1;<0.5;<0.05; 0,15;0,6; 0,23;<0.1;<0.5;  0,15;<0.01;30,11;<0.01;0,24;<0.01;43,65;20,33;0,01;<0.01;0,04;6,84;<0.01;101,14
ICK-334;;FOSFATO;5;<0.1;0,6;0,9;<0.05;8; 0,07;<0.05;<0.05;0,5;<0.05;<0.05;<0.05;1,8;<0.05;<2;<0.05;0,2;14;<0.05;<0.2;<0.1;<0.3;34,9;<0.05;<0.05;<0.1;<0.5;<0.05; 0,12;0,6; 0,32;<0.1;<0.5;<0.14;<0.01;25,27;<0.01;0,24;<0.01;37,88;17,23;<0.01;<0.01;<0.01;19,97;0,01;100,54
ICK-335;;FOSFATO;5;<0.1;0,6;1,1;<0.05;10; 0,06;<0.05;<0.05;0,7;<0.05;<0.05;<0.05;1,9;<0.05;<2;<0.05;0,1;17; 0,05;<0.2;<0.1;<0.3;40,1;<0.05;<0.05;<0.1;<0.5;<0.05; 0,10;0,9; 0,45;<0.1;<0.5;<0.14;<0.01;29,77;<0.01;0,22;<0.01;40,35;16,45;<0.01;<0.01;<0.01;13,13;0,01;99,90
ICK-336;;FOSFATO;<5;<0.1;0,5;1,5;<0.05;16;<0.05;<0.05;<0.05;0,6;<0.05;<0.05;<0.05;1,5;<0.05;<2; 0,14;0,1;25;<0.05;<0.2;<0.1;<0.3;52,6;<0.05;<0.05;<0.1;<0.5;<0.05; 0,06;1,8; 0,28;<0.1;<0.5;<0.14;0,01;50,93;<0.01;0,15;<0.01;43,77;3,51;<0.01;<0.01;<0.01;0,10;0,01;98,43
ICK-337;;FOSFATO;17;<0.1;0,9;1,1;<0.05;7;<0.05;<0.05;<0.05;0,8;<0.05;<0.05;<0.05;2,2;<0.05;2;<0.05;0,3;18; 0,07;<0.2;<0.1;<0.3;31,0;<0.05;<0.05;<0.1;<0.5;<0.05; 0,44;0,4; 0,40;<0.1;<0.5;  0,56;0,02;15,74;<0.01;0,76;<0.01;22,35;9,31;0,01;<0.01;<0.01;54,17;0,02;102,32
ICK-338;;FOSFATO;9;<0.1;1,5;1,1;<0.05;14; 0,20; 0,12;<0.05;0,4; 0,15;<0.05;<0.05;3,3;<0.05;<2; 0,24;0,6;17; 0,14;0,8;0,1;<0.3;73,0;<0.05;<0.05;<0.1;<0.5;<0.05; 0,62;0,6; 1,63;<0.1;1,7;<0.14;0,05;33,66;<0.01;0,18;<0.01;46,36;20,32;<0.01;<0.01;0,16;<0.01;0,02;100,69
ICK-339;;FOSFATO;6;<0.1;0,6;0,9;<0.05;12; 0,05;<0.05;<0.05;0,4;<0.05;<0.05;<0.05;1,4;<0.05;<2;<0.05;0,2;14;<0.05;<0.2;<0.1;0,4;85,1;<0.05;<0.05;<0.1;<0.5;<0.05; 0,34;0,3; 0,51;<0.1;<0.5;<0.14;0,01;33,67;<0.01;0,16;<0.01;46,35;19,06;<0.01;<0.01;0,02;0,15;0,01;99,41
ICK-340;;FOSFATO;6;0,2;0,6;0,9;<0.05;12;<0.05;<0.05;<0.05;0,4;<0.05;<0.05;<0.05;1,3;<0.05;<2;<0.05;0,2;13;<0.05;<0.2;<0.1;<0.3;32,0;<0.05;<0.05;<0.1;<0.5;<0.05; 0,14;0,2; 0,16;<0.1;<0.5;<0.14;0,02;32,58;<0.01;0,16;<0.01;45,71;21,42;<0.01;<0.01;0,02;2,39;0,01;102,27
ICK-341;;FOSFATO;10;<0.1;1,0;0,8;<0.05;10; 0,07;<0.05;<0.05;0,4;<0.05;<0.05;<0.05;1,2;<0.05;<2; 0,24;0,3;13;<0.05;<0.2;<0.1;<0.3;64,3;<0.05;<0.05;<0.1;<0.5;<0.05; 0,25;0,2; 0,32;<0.1;1,5;<0.14;0,03;31,33;<0.01;0,19;<0.01;43,10;18,48;<0.01;<0.01;0,01;7,96;0,02;101,08
ICK-342;;FOSFATO;7;<0.1;1,5;1,0;<0.05;7; 0,21; 0,09;<0.05;0,8; 0,08;<0.05;<0.05;2,2;<0.05;<2;<0.05;0,7;16; 0,16;0,9;0,2;<0.3;20,1;<0.05;<0.05;<0.1;<0.5;<0.05; 0,21;0,2; 1,00;<0.1;1,1;  0,39;0,17;16,60;<0.01;0,61;<0.01;25,58;10,62;0,04;<0.01;0,09;46,95;<0.01;100,54
ICK-343;;FOSFATO;<5;<0.1;0,6;0,8;<0.05;<5;<0.05;<0.05;<0.05;0,8;<0.05;<0.05;<0.05;1,3;<0.05;<2;<0.05;<0.1;12;<0.05;<0.2;<0.1;<0.3;0,9;<0.05;<0.05;<0.1;<0.5;<0.05; 0,07;0,3; 0,14;<0.1;<0.5;  0,83;0,10;0,18;<0.01;1,07;<0.01;0,03;<0.01;0,05;<0.01;0,01;>90;<0.01;N.A.
ICK-344;;FOSFATO;17;<0.1;2,4;1,4;<0.05;11; 0,10;<0.05;<0.05;0,7;<0.05;<0.05;<0.05;11,4;<0.05;<2; 0,27;0,5;25; 0,14;<0.2;<0.1;<0.3;37,6;<0.05;<0.05;<0.1;<0.5;<0.05; 0,27;0,9; 0,55;<0.1;2,5;  0,21;0,04;28,33;<0.01;0,37;<0.01;40,67;18,81;<0.01;<0.01;<0.01;14,14;0,02;102,34
ICK-345;;FOSFATO;25;0,1;5,0;2,2; 0,34;18; 0,42; 0,20; 0,08;1,5; 0,42; 0,23; 0,06;5,6;<0.05;<2;<0.05;2,2;27; 0,55;5,1;0,4;<0.3;4629,6;<0.05;<0.05;0,3;<0.5;<0.05; 0,54;0,6; 2,19;0,2;7,8;  0,33;0,74;51,50;<0.01;0,63;0,09;41,35;0,41;<0.01;0,17;0,05;4,11;0,05;99,10
ICK-346;;FOSFATO;31;0,2;4,7;2,5; 0,33;21; 0,39; 0,22; 0,09;1,6; 0,46; 0,15; 0,07;5,6;<0.05;<2; 0,12;2,1;30; 0,52;5,6;0,4;<0.3;2816,1;<0.05;<0.05;0,4;<0.5; 0,06; 0,40;0,4; 2,33;0,2;7,7;  0,35;0,73;52,96;<0.01;0,70;0,09;41,87;0,40;0,02;0,11;<0.01;3,17;0,05;100,12
ICK-347;;FOSFATO;22;0,1;4,2;2,3; 0,17;19; 0,29; 0,16; 0,05;1,1; 0,31; 0,14;<0.05;5,3;<0.05;<2;<0.05;1,7;32; 0,46;3,4;0,3;<0.3;3817,2;<0.05; 0,06;0,3;<0.5;<0.05; 0,35;0,5; 1,67;0,1;6,1;  0,30;0,62;54,95;<0.01;0,53;0,05;41,51;0,25;<0.01;0,16;0,02;2,76;0,04;100,90
ICK-348;;FOSFATO;29;0,2;8,8;2,6; 0,46;17; 0,70; 0,39; 0,22;2,1; 0,77; 0,32; 0,13;7,5;<0.05;<2; 0,09;4,2;30; 1,08;8,5;0,8;<0.3;3393,1;<0.05; 0,11;0,7;<0.5; 0,05; 0,59;1,0; 4,31;0,4;12,4;  0,29;1,35;51,04;<0.01;0,82;0,19;40,55;0,32;0,01;0,09;0,02;5,76;0,08;100,24
