SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Serviço Geológico do Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;11/5/2010 09:51:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ1003035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;Default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 3729-Go;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;6/5/2010 09:51:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Method;SCR33;SCR33;SCR33;SCR33;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;FAA313;FAA313
;Analyte;Peso;Soma Peso;80#;<80#;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr;Au;W1_aas
;Unit;g;g;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppb;g
;MDL;0;0;0;0;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5;10;0
Sample;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;0,03;<0.01;<1;<0.1;<10;11;<0.1;<0.02;<0.01;<0.01;3,59;0,7;9;<0.05;9,3;0,69;0,1;<0.1;<0.05;0,03;<0.02;<0.01;1,9;<1;<0.01;42;1,8;<0.01;0,24;4,9;<50;0,8;<0.2;<0.1;<0.01;0,18;0,2;<1;0,9;2,3;<0.05;<0.05;0,3;<0.01;<0.05;<1;2,6;0,26;<1;<0.5;<0.02;0,02;<1;29;<0.1;0,05;0,03;<0.02;3,94;0,6;2;<5;11,4;0,7;<0.1;0,05;<0.02;<0.01;2,1;5;<0.01;<0.01;<0.01;1,34;<0.01;0,8;4,7;<50;1,7;1,4;<0.1;<0.01;0,09;<0.5;<2;0,9;3,5;<0.05;<0.05;<0.05;0,6;<0.01;<0.02;<0.1;<1;1,5;0,3;<0.1;3;1,5;<10;30,52
LR-S-5621 GIF520;SEDIMENTO CORRENTE;328;328;68,9;31,1;0,03;1,14;3;<0.1;<10;88;0,8;0,2;7,89;<0.01;59,15;11,4;30;0,52;13,8;3,54;5,2;<0.1;0,08;0,08;<0.02;0,08;27,7;10;0,12;426;0,15;<0.01;0,18;15,2;296;16,8;8,9;<0.1;0,03;0,36;3;2;0,7;133;<0.05;<0.05;3,9;<0.01;0,31;33;0,1;13,4;29;3,9;0,12;4,85;5;215;1,6;0,29;6,8;0,07;74,33;15,2;34;<5;26,3;3,89;13,2;3,56;<0.02;1,08;35,8;41;0,32;0,37;0,04;0,41;0,11;11,1;30,4;356;17,6;88;<0.1;0,03;0,51;12,8;<2;2,1;125;1,36;0,81;0,27;10,5;0,35;0,41;1,8;74;1,4;22,4;2,3;38;95,9;<10;26,77
LR-S-5622 GIF521;SEDIMENTO CORRENTE;322;322;74,53;25,47;0,07;1,44;2;<0.1;<10;96;0,6;0,19;10,51;<0.01;40,86;8,6;27;0,48;14,4;3,62;6;<0.1;0,05;0,02;0,04;0,08;17,6;21;0,19;340;0,21;<0.01;0,2;14;526;12,4;11,5;<0.1;0,05;0,27;3,4;<1;0,7;158;<0.05;<0.05;2,7;<0.01;0,26;35;<0.1;12,52;24;4;0,08;5,84;8;209;1,6;0,25;8,99;<0.02;54,44;12;33;5;26,6;3,78;15,1;3,35;0,07;1,13;25,1;89;0,27;0,54;0,03;0,47;0,12;11;33;545;13,3;97,4;<0.1;0,05;0,34;13,5;<2;2,6;144;1,3;0,63;0,13;9,8;0,35;0,45;2,1;80;1,4;19,2;2,1;37;98,2;16;16,23
LR-S-5623 GIF522;SEDIMENTO CORRENTE;433;433;84,53;15,47;0,07;1,25;4;<0.1;<10;87;0,7;0,14;7,6;0,09;29,04;9,3;24;1;10,9;2,6;3,9;<0.1;0,11;<0.01;<0.02;0,13;14,4;25;0,49;655;0,23;<0.01;0,11;15;674;11,6;18,2;<0.1;0,07;0,34;2,2;<1;0,8;132;<0.05;<0.05;1,6;<0.01;0,31;25;<0.1;10,96;33;4,4;0,1;4,07;8;221;1,6;0,19;6,84;0,15;47,78;13,8;25;<5;26,3;2,8;11,4;2,34;<0.02;1,12;25,6;67;0,26;0,8;0,06;0,46;0,11;8,5;29,1;810;14,1;90,2;<0.1;0,07;0,46;9,4;<2;1,7;128;0,81;0,61;0,18;7,1;0,26;0,48;1,9;59;1,2;19,3;1,8;38;67,3;<10;22,9
LR-S-5624 GIF523;SEDIMENTO CORRENTE;249;249;76,71;23,29;0,08;0,82;2;<0.1;<10;107;0,4;0,16;0,33;0,06;51,43;9,6;18;0,39;11,4;3,12;3,9;<0.1;<0.05;0,03;0,03;0,08;24,7;6;0,05;1145;0,37;<0.01;0,19;11,2;283;14;9,7;<0.1;0,02;0,33;2,3;<1;0,5;16,1;<0.05;<0.05;2,5;0,01;0,64;32;<0.1;15,43;50;2;0,12;4,43;6;233;1,4;0,25;0,29;0,1;71,62;18,7;31;<5;34,7;3,37;14,4;3,53;<0.02;1,15;38,6;43;0,39;0,37;0,1;0,52;0,03;13;29,1;375;16,4;87,8;<0.1;0,02;0,37;13,1;<2;2;21,5;0,68;0,88;0,09;10;0,5;0,57;2,7;79;1,6;26,3;2,6;63;105;<10;19,85
LR-S-5625 GIF524;SEDIMENTO CORRENTE;481;481;92,31;7,69;0,05;0,99;6;<0.1;<10;84;0,7;0,32;0,47;0,1;61,69;24,6;31;0,73;16,8;3,74;4,7;<0.1;0,05;0,05;<0.02;0,11;26,5;9;0,13;1309;0,4;<0.01;0,21;16,3;279;22,2;10,2;<0.1;0,02;0,72;1,7;<1;0,6;26;<0.05;<0.05;4,9;<0.01;0,49;33;<0.1;8,31;44;3,5;0,06;5,15;7;286;1,5;0,3;0,4;0,05;76,79;33,2;42;<5;33,8;4,05;16,3;3,89;0,04;1,65;35,7;42;0,34;0,46;0,11;0,48;0,08;14,3;38,1;357;23,9;101;<0.1;0,02;0,79;12,5;<2;2,4;33,6;0,89;0,83;<0.05;10,4;0,47;0,5;2,2;93;1,9;20,8;2,3;59;115;<10;18,67
LR-S-5626 GIF525;SEDIMENTO CORRENTE;615;615;66,02;33,98;0,02;0,13;<1;<0.1;<10;20;<0.1;<0.02;0,02;<0.01;10,24;0,7;4;0,07;2,5;0,48;0,8;<0.1;<0.05;0,03;<0.02;<0.01;5,8;<1;<0.01;93;0,34;<0.01;0,27;1,4;<50;2,3;1;<0.1;<0.01;0,08;0,3;<1;0,3;2,5;<0.05;<0.05;0,8;<0.01;0,14;5;<0.1;1,23;2;1,2;0,1;0,6;<1;63;0,2;<0.04;0,03;<0.02;16,21;1,1;3;<5;9,3;0,54;1,7;2,17;<0.02;0,07;9,6;5;0,09;0,02;0,01;0,38;0,01;3,1;3,1;57;4,8;4,1;<0.1;<0.01;0,19;1,6;<2;0,7;7,4;<0.05;0,14;0,14;1,5;0,13;<0.02;0,6;8;0,2;4,5;0,7;4;73,5;<10;30,7
LR-S-5627 GIF526;SEDIMENTO CORRENTE;700;700;77,29;22,71;0,1;0,08;<1;<0.1;<10;866;1,3;<0.02;0,28;<0.01;>1000;1,7;4;<0.05;2,8;0,83;3,1;0,3;0,31;<0.01;0,03;<0.01;707,5;<1;<0.01;589;1,83;<0.01;5,2;3,8;1596;23,6;0,4;<0.1;0,02;0,14;2,9;<1;1;235;<0.05;<0.05;11,1;0,01;1,31;10;2,1;12,08;62;16,6;0,1;0,35;1;855;1,4;<0.04;0,26;0,03;>1000;2,4;2;<5;8,7;0,85;3;0,69;<0.02;0,03;690,6;4;0,15;0,01;0,05;2;0,01;10;5,7;1701;26;1,8;<0.1;0,02;0,14;5;<2;0,6;223;0,35;2,39;0,12;12,6;0,1;0,11;1,7;12;2,5;14,9;1,2;62;38,7;<10;29,56
LR-S-5628 GIF527;SEDIMENTO CORRENTE;662;662;84,74;15,26;0,04;1,04;4;<0.1;<10;63;0,6;0,2;0,12;0,02;32,52;4,8;22;0,79;9,5;2,72;5,3;<0.1;0,22;0,11;0,04;0,05;14,6;7;0,05;329;0,28;<0.01;0,31;5,6;73;14;9,7;<0.1;<0.01;0,71;4,4;<1;1,1;4,8;<0.05;<0.05;4,8;0,01;0,72;43;0,2;10,79;11;8,5;0,08;4,24;6;190;1;0,29;0,13;<0.02;43,26;9,5;27;<5;29,2;2,87;12,6;3,67;0,02;0,68;22,1;57;0,29;0,26;0,03;0,34;0,02;8,8;23;150;17;64,9;<0.1;<0.01;0,57;10,2;<2;1,9;11,5;0,33;0,59;0,08;8,7;0,34;0,47;2,3;66;1;18,7;2,1;27;104;<10;27,5
LR-S-5629 GIF528;SEDIMENTO CORRENTE;489;488;81,56;18,44;0,07;0,92;3;<0.1;<10;80;0,6;0,18;3,38;0,03;47,65;11,2;22;0,47;14,3;2,77;4;<0.1;0,08;<0.01;<0.02;0,11;24,6;8;0,22;504;0,19;<0.01;0,16;14,1;419;14,2;10,6;<0.1;0,04;0,31;2;<1;0,5;56,7;<0.05;<0.05;2,9;<0.01;0,29;24;<0.1;9,45;34;3,6;0,09;4,52;5;223;1,1;0,21;2,98;0,05;62,68;15;32;<5;28,9;3,17;12,6;3,02;0,04;1,2;32,9;93;0,3;0,49;0,05;0,27;0,06;9,7;28,1;547;15,5;86,6;<0.1;0,04;0,35;10,7;<2;2;60,7;0,51;0,69;0,08;9;0,37;0,36;1,6;65;1,4;19,5;2;43;88;<10;24,81
LR-S-5630 GIF529;SEDIMENTO CORRENTE;363;363;85,67;14,33;0,07;1,25;5;<0.1;<10;190;0,9;0,27;0,36;0,05;82,13;40,2;22;1,11;19,3;3,8;5,4;<0.1;<0.05;0,08;0,03;0,13;39,7;14;0,21;3073;0,31;<0.01;0,17;24,2;268;23,3;12,6;<0.1;0,04;0,65;2,9;<1;0,6;30,4;<0.05;<0.05;4,8;<0.01;0,6;30;<0.1;14,6;63;2,7;0,09;6,01;7;430;1,8;0,3;0,33;0,05;93,99;53,4;37;7;38,7;4,36;20;3,74;0,02;1,97;47,1;64;0,42;0,62;0,26;0,66;0,17;14,2;49,3;396;23,5;127;<0.1;0,04;0,55;15,4;<2;2,6;40;0,46;1,12;<0.05;11,8;0,53;0,64;2,5;101;1,3;28,4;2,8;83;119;<10;20,61
LR-S-5631 GIF530;SEDIMENTO CORRENTE;491;490;90,82;9,18;0,08;1,1;8;<0.1;<10;71;0,7;0,47;0,25;0,02;70,46;19;27;1,18;21,1;4,18;5,8;<0.1;0,24;<0.01;<0.02;0,14;31,4;12;0,18;645;0,47;<0.01;0,23;22,9;284;24,2;12,3;<0.1;<0.01;0,78;2,6;<1;0,7;21,2;<0.05;0,55;6,9;<0.01;0,52;31;0,2;8,86;62;8,9;0,2;6,56;7;389;2,3;0,33;0,23;0,04;68,98;23,5;46;7;41,3;4,99;22,8;4,11;<0.02;2,68;31,2;55;0,39;0,69;0,06;0,35;0,11;10,8;45,7;346;24,2;135;<0.1;<0.01;0,47;14,5;<2;2,8;30,2;0,47;0,86;0,06;10,1;0,48;0,72;2,6;117;0,9;21,5;2,6;77;124;<10;21,61
LR-S-5632 GIF531;SEDIMENTO CORRENTE;919;918;87,58;12,42;0,03;0,15;<1;<0.1;<10;14;<0.1;0,04;0,04;<0.01;8,54;0,9;4;0,11;2,4;0,55;0,8;<0.1;<0.05;0,03;<0.02;0,02;4,9;<1;0,02;84;0,24;<0.01;0,3;1,5;<50;2,9;1,8;<0.1;<0.01;0,11;0,2;<1;0,5;2,7;<0.05;0,11;0,9;<0.01;0,09;8;0,1;0,68;2;1,8;0,02;0,66;1;49;<0.1;<0.04;0,05;0,03;14,44;1,5;3;<5;8,2;0,67;1,9;1,26;<0.02;0,13;8,9;5;0,06;0,04;0,01;0,29;<0.01;2,9;3,3;<50;5,1;6,8;<0.1;<0.01;0,13;1,2;<2;0,5;6,7;<0.05;0,1;0,06;1,6;0,13;0,04;0,4;12;0,1;3,1;0,5;3;39,3;<10;30,06
LR-S-5633 GIF532;SEDIMENTO CORRENTE;477;477;86,16;13,84;0,07;0,93;12;<0.1;<10;44;1,1;0,42;0,12;0,04;50,88;23,8;33;1,29;22,9;5,49;5,2;<0.1;0,22;<0.01;0,02;0,11;26;16;0,28;609;1,06;<0.01;0,39;24,8;199;27,2;8,6;<0.1;<0.01;1,22;1,6;<1;0,4;10,5;<0.05;<0.05;7,8;0,02;0,75;55;0,2;7,09;65;7,1;0,1;5,54;13;343;2,3;0,38;0,11;0,03;49,87;30,3;50;6;39;6,06;21,6;4,28;0,06;2,54;24,6;43;0,33;0,86;0,06;1,09;0,08;13;42,1;309;27,8;112;<0.1;<0.01;0,86;13,7;<2;2,6;20,6;0,81;0,65;0,07;8,6;0,46;0,68;2,3;135;1,5;15,9;2,2;74;116;<10;24,78
