SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Serviço Geológico do Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;20/5/2010 10:11:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ1003270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;Bambui Oeste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 3746-Go;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;19/5/2010 10:11:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Method;SCR33;SCR33;SCR33;SCR33;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;Analyte;Peso;Soma Peso;80#;<80#;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;Unit;g;g;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;MDL;0;0;0;0;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;<0.01;0,01;<1;<0.1;<10;<5;<0.1;<0.02;<0.01;<0.01;0,39;0,6;4;<0.05;3,9;0,59;0,2;<0.1;<0.05;<0.01;<0.02;<0.01;0,2;<1;<0.01;80;0,6;<0.01;<0.05;2,6;<50;<0.2;<0.2;<0.1;<0.01;0,06;0,2;<1;<0.3;0,5;<0.05;<0.05;<0.1;<0.01;<0.05;<1;<0.1;0,1;<1;<0.5;<0.02;0,04;<1;<5;<0.1;<0.04;0,01;<0.02;0,17;0,4;8;<5;4,8;0,56;0,3;<0.02;<0.02;<0.01;<0.1;8;<0.01;<0.01;<0.01;0,79;<0.01;0,3;1,7;<50;1,7;<0.2;<0.1;<0.01;0,08;<0.5;<2;0,5;1;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;0,2;<0.1;<0.1;<1;<0.5
AC-S-5130 GIG936;SEDIMENTO CORRENTE;555;554;82,31;17,69;0,01;0,55;7;<0.1;<10;41;0,6;0,13;0,11;0,02;46,64;3,2;16;0,47;20;2,16;4,3;<0.1;0,05;<0.01;<0.02;0,07;21,9;4;0,03;124;0,26;<0.01;0,06;7,5;249;10;8,4;<0.1;0,01;0,57;3,5;<1;0,4;7,5;<0.05;<0.05;4,1;<0.01;0,68;27;<0.1;5,87;12;1,1;0,03;3,82;3;201;1,4;0,12;0,12;0,03;36,33;3,2;22;<5;21,6;2,28;10,6;2,9;0,04;0,97;18,3;21;0,23;0,26;0,01;0,25;0,02;9,8;11,8;240;13,8;71,9;<0.1;<0.01;0,64;8,7;<2;2,1;11,3;0,2;0,41;<0.05;8;0,41;0,3;2;66;0,9;12,2;1,6;24;76,4
AC-S-5140 GIG937;SEDIMENTO CORRENTE;605;603;93,2;6,8;0,61;0,46;10;<0.1;<10;162;1,3;0,25;0,07;0,05;107,7;33,2;23;0,36;43,8;3,87;6,5;<0.1;0,3;<0.01;<0.02;0,07;28,8;4;0,06;1123;0,63;<0.01;0,08;39;153;32,4;5,2;<0.1;<0.01;1,16;1,9;<1;1;7,4;<0.05;<0.05;6,8;<0.01;0,63;25;0,2;8,14;41;7;0,06;3,81;6;346;2,3;0,2;0,07;0,02;91,59;22,7;29;<5;35,2;3,95;13,2;2,74;0,03;1,37;23;16;0,26;0,36;0,1;0,24;0,02;4,6;30;73;32,6;85,8;<0.1;<0.01;0,85;8,8;<2;1,9;10;0,09;0,53;<0.05;8,9;0,3;0,37;1,9;66;0,3;13,7;1,8;56;70,4
AC-S-5150 GIG938;SEDIMENTO CORRENTE;638;635;79,06;20,94;0,01;0,23;3;<0.1;<10;22;0,4;0,05;0,02;<0.01;22,42;7;11;0,22;10,8;1,46;2;<0.1;0,1;<0.01;<0.02;0,03;9,2;2;0,02;216;0,13;<0.01;<0.05;7,9;90;7,6;3,2;<0.1;<0.01;0,44;1;<1;<0.3;2,2;<0.05;<0.05;2,4;<0.01;0,24;14;<0.1;2,11;10;1,9;0,1;1,42;2;82;0,8;<0.04;0,05;0,02;18,79;5,4;26;<5;12,3;1,52;4,1;1,34;<0.02;0,38;8,1;7;0,05;0,11;0,02;0,44;0,01;2,9;8,5;<50;11,5;24,1;<0.1;<0.01;0,5;2,8;<2;1,1;5,2;0,13;0,12;<0.05;3,1;0,13;0,08;0,6;28;0,3;4,3;0,6;15;33,9
AC-S-5160 GIG939;SEDIMENTO CORRENTE;606;604;95,03;4,97;<0.01;0,92;10;<0.1;<10;46;0,7;0,25;0,33;0,03;67,81;30;26;0,5;28,8;3,88;5,3;<0.1;0,1;<0.01;<0.02;0,12;30,2;9;0,26;775;0,46;<0.01;0,28;34,9;331;25,6;8,6;<0.1;<0.01;1,02;2,2;<1;<0.3;21;<0.05;<0.05;6,5;<0.01;0,42;27;<0.1;6,68;44;4,1;0,19;4,8;7;237;1,8;0,21;0,34;<0.02;54,64;22,3;61;6;25,8;4;13,8;3,22;0,07;1,71;25,6;27;0,23;0,6;0,08;0,34;0,16;6;32;302;28,2;107;<0.1;<0.01;1,06;10,9;<2;2,3;25,1;0,33;0,46;<0.05;8,7;0,2;0,38;1,7;83;0,6;11,7;1,6;63;88,7
AC-S-5170 GIG940;SEDIMENTO CORRENTE;495;494;90,08;9,92;0,03;0,88;7;<0.1;<10;47;0,6;0,2;4,72;0,04;50,21;25,1;29;0,43;28,8;3,54;4,9;<0.1;0,11;0,04;<0.02;0,11;24,1;9;0,17;503;0,14;<0.01;0,23;24,6;249;19,1;10,3;<0.1;0,02;0,67;2,2;<1;0,3;89;<0.05;<0.05;5,2;<0.01;0,37;31;<0.1;7,82;28;4;0,1;4,84;6;263;1,6;0,14;4,43;0,08;48,77;18,8;63;<5;20,5;3,61;12,7;3,06;0,05;1,56;24;35;0,24;0,54;0,05;0,28;0,09;6,8;27,2;337;23,3;104;<0.1;0,01;0,78;9,6;<2;2,5;84,9;0,49;0,45;<0.05;8,4;0,23;0,38;1,4;84;0,8;12,7;1,6;48;81,8
