SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Serviço Geológico do Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;3/8/2010 13:24:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GY1000381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;Fosfato Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 3779-Go;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;30/7/2010 13:24:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
;;Analyte;Umido;Seco;< 80#;> 80#;Entrada Pulv;Saida Pulv;Massa Pulv;Retido 150#;Granul.150#;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr
;;Unit;g;g;g;g;g;g;%;g;%;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;0,14;<1;12;0,4;<0.04;0,02;<0.02;0,39;<0.1;1;<5;<0.5;0,03;0,3;0,03;<0.02;0,05;0,2;12;<0.01;<0.01;<0.01;<0.05;0,05;0,1;0,8;<50;0,8;7,9;<0.1;<0.01;<0.05;<0.5;<2;1,1;0,9;<0.05;<0.05;<0.05;<0.2;<0.01;0,03;<0.1;<1;<0.1;0,1;<0.1;2;16,1;<0.01;<0.01;<1;<0.1;<10;10;<0.1;<0.02;<0.01;<0.01;0,76;<0.1;2;0,11;<0.5;0,01;<0.1;<0.1;<0.05;<0.01;<0.02;<0.01;0,4;<1;<0.01;15;0,11;<0.01;0,16;0,8;<50;0,4;0,6;<0.1;<0.01;<0.05;<0.1;<1;1,1;<0.5;<0.05;<0.05;0,1;<0.01;<0.05;<1;<0.1;0,08;<1;<0.5
AC-S-5950;;SEDIMENTO CORRENTE;2635;2125;35;2065;35;25;71,43;1;4;<0.02;3,08;3;366;0,6;0,09;0,28;<0.02;35,24;2,8;11;<5;8;1,95;5,6;2,47;0,03;2,38;14,2;9;0,26;0,07;0,03;0,84;0,3;5,5;5,5;57;12,3;143;<0.1;<0.01;0,26;1,9;<2;4;43,4;0,3;0,34;<0.05;7,1;0,16;0,46;0,9;21;0,7;10;1,6;6;83,3;0,07;0,42;2;<0.1;<10;33;0,1;0,05;0,23;0,02;34,97;2,5;10;0,43;6,9;1,73;1,5;<0.1;0,11;<0.01;<0.02;0,14;14,1;3;0,02;239;0,83;0,01;0,55;4,1;<50;5,8;11,3;<0.1;<0.01;0,23;1,1;<1;1,5;11,1;<0.05;<0.05;5,3;0,02;0,31;16;<0.1;4,33;3;3,5
AC-S-5685;;SEDIMENTO CORRENTE;2470;2010;50;1940;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;2,85;2;352;0,4;0,1;0,18;<0.02;39,94;2;8;<5;6,6;1,58;4,7;3,94;0,02;2,45;16,3;7;0,35;0,05;0,02;0,75;0,29;5,7;4,7;53;11,2;135;<0.1;0,04;0,24;26;<2;1,9;39,4;0,19;0,37;<0.05;9,5;0,22;0,43;1,2;19;1,1;14,2;2,1;6;134;0,05;0,32;2;<0.1;<10;26;0,2;0,07;0,15;<0.01;35,89;1,7;8;0,34;6;1,34;1,2;<0.1;0,15;<0.01;<0.02;0,11;15,1;2;0,02;196;0,45;<0.01;0,24;3;<50;4,5;7,7;<0.1;<0.01;0,17;0,8;<1;2,2;8,1;<0.05;<0.05;5,8;0,03;0,35;14;<0.1;4,06;2;4,7
AC-S-5960;;SEDIMENTO CORRENTE;2495;2105;245;1855;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;0,44;<1;73;0,2;0,07;0,05;<0.02;9,2;0,7;8;<5;2,1;0,53;0,9;1,28;<0.02;0,25;4;5;0,07;0,01;<0.01;0,22;0,03;3;7,2;<50;3,2;12,9;<0.1;<0.01;0,11;0,8;<2;1,3;10,1;<0.05;0,08;<0.05;2;0,16;0,06;0,4;10;0,2;2,7;0,4;6;53,3;0,02;0,06;<1;<0.1;<10;10;0,2;0,02;0,03;<0.01;7,25;0,5;3;0,16;3,9;0,38;0,3;<0.1;<0.05;<0.01;<0.02;0,01;3;<1;<0.01;44;0,21;<0.01;0,16;0,7;<50;2;1,1;<0.1;<0.01;<0.05;0,3;<1;0,8;1,9;<0.05;<0.05;1,4;0,01;0,14;5;<0.1;0,85;<1;1,2
AC-S-5686;;SEDIMENTO CORRENTE;2505;2135;155;1970;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;0,48;<1;84;0,2;0,08;0,07;0,04;27,75;1,9;13;<5;13,7;0,95;2,6;3,44;<0.02;0,59;12,2;6;0,15;0,02;0,01;1,67;0,04;4,2;29;<50;5,9;31,6;<0.1;<0.01;0,26;1,4;<2;1,8;12,9;0,06;0,21;0,06;6,7;0,28;0,42;1,4;15;0,4;6,3;0,9;5;119;0,04;0,07;<1;<0.1;<10;10;0,1;0,04;0,05;<0.01;17,25;0,7;5;0,14;3,1;0,69;0,4;<0.1;0,11;<0.01;<0.02;0,02;7,4;<1;<0.01;86;0,17;<0.01;0,24;1,8;<50;2,6;1,2;<0.1;<0.01;0,12;0,3;1;1,1;2,9;<0.05;<0.05;3,8;0,03;0,27;7;<0.1;1,45;<1;3,5
AC-S-5970;;SEDIMENTO CORRENTE;2395;2030;290;1715;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;1,09;<1;203;0,2;0,05;0,05;<0.02;16,8;1,2;7;<5;3,8;0,89;2,1;2,27;<0.02;1,05;7,5;5;0,12;0,03;0,01;0,38;0,13;2,8;2,5;<50;5,4;51,3;<0.1;<0.01;0,11;1;<2;1,5;23,8;<0.05;0,17;<0.05;3,6;0,15;0,17;0,6;10;0,3;5,1;0,8;5;87,4;0,06;0,14;<1;<0.1;<10;17;0,1;0,04;0,03;<0.01;14,28;0,8;5;0,21;3,3;0,7;0,6;<0.1;0,09;0,01;<0.02;0,04;6,3;<1;<0.01;98;0,37;<0.01;0,17;1,8;<50;2,2;2,9;<0.1;<0.01;0,07;0,4;<1;1,8;2,5;<0.05;<0.05;2,7;0,01;0,19;6;0,1;1,8;1;2,2
