SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Serviço Geológico do Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;3/8/2010 13:38:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GY1000382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;Fosfato Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 3779 A- Go;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;30/7/2010 13:38:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
;;Analyte;Umido;Seco;< 80#;> 80#;Entrada Pulv;Saida Pulv;Massa Pulv;Retido 150#;Granul.150#;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr
;;Unit;g;g;g;g;g;g;%;g;%;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,02;0,14;<1;10;0,3;<0.04;0,02;<0.02;0,12;<0.1;<1;<5;1,2;0,02;0,3;0,03;<0.02;0,05;<0.1;12;<0.01;<0.01;<0.01;0,15;0,05;0,2;1;<50;1,4;7,9;<0.1;<0.01;<0.05;<0.5;<2;<0.3;1,1;<0.05;0,08;<0.05;<0.2;<0.01;0,02;<0.1;<1;<0.1;0,1;<0.1;4;15,4;<0.01;<0.01;<1;<0.1;<10;8;<0.1;<0.02;<0.01;<0.01;0,18;<0.1;2;0,13;0,5;0,02;<0.1;<0.1;<0.05;0,01;<0.02;<0.01;<0.1;<1;<0.01;14;0,15;<0.01;0,06;<0.5;<50;1;0,6;<0.1;<0.01;<0.05;<0.1;<1;0,8;<0.5;<0.05;<0.05;<0.1;<0.01;<0.05;<1;<0.1;<0.05;<1;1,5
LR-S-6521;;SEDIMENTO CORRENTE;1875;1360;185;1165;185;180;97,3;1;0,56;0,06;2,81;2;275;0,7;0,11;7,26;0,04;37,17;4;16;<5;20,8;2;6;2,08;0,04;0,81;18,8;21;0,19;0,44;0,03;0,62;0,25;6,3;14,2;276;7,6;55,6;<0.1;0,03;0,28;4;<2;1,1;39,3;0,14;0,42;<0.05;5,9;0,21;0,23;1;22;0,8;10,1;1,2;18;75,3;0,01;0,62;2;<0.1;<10;75;0,4;0,08;6,81;0,04;21,8;3,6;9;0,53;10,1;1,51;2,1;<0.1;<0.05;0,03;<0.02;0,14;10,6;4;0,27;280;0,9;<0.01;0,55;9,1;296;6,1;19,5;<0.1;0,03;0,21;1,3;<1;1,2;27,5;<0.05;0,05;1,2;0,01;0,16;10;0,2;5,01;10;2,2
LR-S-6320;;SEDIMENTO CORRENTE;2140;1580;225;1325;N.A.;N.A.;N.A.;N.A.;N.A.;0,15;10,69;22;178;4,1;0,42;0,17;0,02;104,94;17;49;14;33,2;5,43;25,2;4,2;0,1;0,52;49,6;98;0,57;0,3;0,09;0,86;0,08;20,6;33,2;399;29;86,4;<0.1;0,02;1,26;17,7;<2;4,1;15,9;1,34;1,22;0,09;18,7;0,68;0,83;2,5;122;3,3;35;3,8;48;169;0,04;3,74;17;<0.1;<10;139;2,7;0,39;0,15;0,03;95,21;14,7;39;4,06;18,3;4,93;15,6;0,1;0,32;0,03;0,06;0,12;39,3;23;0,1;932;0,69;<0.01;1,17;14,8;327;27,1;35;<0.1;0,01;0,67;12,4;<1;3,9;5,4;<0.05;0,1;12,8;0,06;1,08;104;0,2;29,26;24;12,7
LR-S-6522;;SEDIMENTO CORRENTE;2165;1570;210;1335;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;10,81;18;187;3,7;0,41;0,17;0,02;108,81;15,8;40;13;29,6;5,63;23;3,73;0,09;0,53;52,8;98;0,55;0,31;0,08;0,74;0,05;13,7;28,3;399;27,7;82,6;<0.1;0,02;0,85;15,1;<2;3,9;16,2;0,44;1,2;0,06;18,6;0,62;0,8;2,5;112;1,3;34,1;3,7;46;153;0,05;3,65;15;<0.1;<10;128;2,8;0,39;0,14;0,03;102,09;13,6;38;4,55;18;4,64;14,6;0,1;0,45;0,02;0,06;0,12;42,7;24;0,09;872;0,59;<0.01;1,28;14,2;346;26,8;37,5;<0.1;0,01;0,74;11,7;1;4,2;5,1;<0.05;0,05;13,7;0,06;1,1;100;0,3;28,88;23;17,5
LR-S-6330;;SEDIMENTO CORRENTE;1660;1395;260;1125;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;3,54;8;51;0,9;0,16;0,24;0,03;33,9;5,3;13;<5;9,3;2,14;6,8;0,86;0,02;0,07;17;28;0,17;0,11;0,04;0,48;0,02;4,6;10,2;306;11,5;11,6;<0.1;0,02;0,55;5,1;<2;1,7;15;0,12;0,42;<0.05;5,3;0,23;0,23;1,1;37;0,9;11,7;1,1;27;40,7;0,05;1,24;8;<0.1;<10;43;0,5;0,15;0,22;0,02;29,66;4;11;2,7;6;1,98;4,4;<0.1;0,11;0,03;<0.02;0,02;14;6;0,05;451;0,41;<0.01;0,92;4,9;274;10,3;7,2;<0.1;0,02;0,34;3,6;<1;1,4;8,1;<0.05;<0.05;2,3;0,03;0,45;31;0,2;8,99;14;3,7
LR-S-6523;;SEDIMENTO CORRENTE;1530;1455;295;1140;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;3,49;8;53;0,8;0,17;0,24;0,03;35,79;5,4;15;<5;10,6;1,96;7,2;1,34;0,04;0,08;17,9;28;0,17;0,11;0,04;0,62;0,03;5,4;9,8;321;11,9;10,2;<0.1;0,03;0,53;5,2;<2;1,3;15;0,24;0,43;<0.05;5,9;0,24;0,24;1,2;36;0,9;11,5;1,2;25;52,4;0,04;1,13;8;<0.1;<10;41;0,5;0,16;0,21;0,04;29,53;3,9;11;2,6;7,7;1,67;4,3;<0.1;0,1;0,04;<0.02;0,02;13,8;5;0,05;397;0,67;<0.01;1,02;4,8;287;10,5;6;<0.1;0,02;0,32;3,5;<1;2,7;7,7;<0.05;<0.05;2,1;0,03;0,44;30;0,2;8,86;16;3,5
