SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Serviço Geológico do Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;20/8/2010 08:57:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GY1000420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;Fosfato Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 3795-Go;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;19/8/2010 08:57:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;;Analyte;Umido;Seco;< 80#;> 80#;Entrada Pulv;Saida Pulv;Massa Pulv;Retido 150#;Granul.150#;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;g;g;g;g;g;g;%;g;%;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;0,12;<1;11;0,4;0,05;0,02;<0.02;3,36;<0.1;2;<5;0,7;0,01;0,3;<0.02;<0.02;0,05;1,7;10;<0.01;<0.01;<0.01;0,09;0,04;0,1;1,1;<50;2,1;4,2;<0.1;<0.01;<0.05;<0.5;<2;0,9;1;<0.05;<0.05;<0.05;<0.2;<0.01;0,02;<0.1;<1;<0.1;0,1;<0.1;16;15,3
MR-S-6663;GIJ856;SEDIMENTO CORRENTE;2625;2025;140;1875;140;130;92,86;1;0,77;0,05;1,65;2;104;0,5;0,06;>15;<0.02;26,87;4,1;15;<5;7,5;1,25;4,6;0,94;<0.02;0,49;14,8;12;0,11;0,63;0,02;0,5;0,05;3,4;18;236;6,8;46,5;<0.1;0,02;0,18;3,4;<2;1,9;59,4;0,24;0,31;<0.05;3,9;0,09;0,18;0,7;19;0,4;10,2;0,9;46;29,5
MR-S-6664;GIJ857;SEDIMENTO CORRENTE;2295;2225;130;2085;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;2,11;6;77;0,9;0,16;1,24;<0.02;24,81;4,1;21;<5;7,8;1,95;5,8;1,14;<0.02;0,22;15,9;16;0,13;0,26;0,03;1,77;0,02;4,3;9,5;57;10,8;35;<0.1;<0.01;1,34;3,9;<2;1,7;40,6;0,1;0,35;<0.05;5,3;0,15;0,16;0,7;35;0,5;9,8;1;26;38
MR-S-6665;GIJ858;SEDIMENTO CORRENTE;2455;1835;95;1725;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;2,22;4;128;0,9;0,09;>15;<0.02;33,57;4,1;15;<5;9,8;1,52;5,6;0,99;<0.02;0,62;19,1;16;0,12;0,88;0,02;0,45;0,03;4,4;18,4;403;10,2;63,2;<0.1;0,03;0,41;4,2;<2;1,7;36,4;0,26;0,35;0,09;5,1;0,13;0,2;0,7;25;0,7;11,7;1;40;33,9
MR-S-6666;GIJ859;SEDIMENTO CORRENTE;1555;1510;185;1315;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;4,38;6;845;1,2;0,17;9,12;0,03;48,81;5,7;25;<5;16;2,24;9,9;1,76;0,05;0,52;27,6;39;0,22;0,61;0,03;1,12;0,28;7,3;18,8;545;16,2;70,2;<0.1;0,04;0,57;9,2;<2;2,2;24,3;0,44;0,58;<0.05;7,8;0,23;0,33;1;46;1,1;18,8;1,5;54;68,2
MR-S-6667;GIJ860;SEDIMENTO CORRENTE;2205;2190;310;1855;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;1,55;2;256;0,6;0,07;0,22;0,03;20,84;6;11;<5;7,6;1,41;4;0,71;<0.02;0,08;10,1;13;0,08;0,13;0,08;0,28;0,07;3,2;7,2;158;12,2;14,4;<0.1;<0.01;0,33;3,1;<2;1,2;5,4;0,24;0,19;<0.05;2,9;0,11;0,15;0,5;18;0,4;7,1;0,6;25;29,9
