SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Serviço Geológico do Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;20/8/2010 09:01:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GY1000421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;Fosfato Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 3795 A- Go;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;19/8/2010 09:01:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;;Analyte;Umido;Seco;< 80#;> 80#;Entrada Pulv;Saida Pulv;Massa Pulv;Retido 150#;Granul.150#;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;g;g;g;g;g;g;%;g;%;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;0,11;<1;12;0,2;<0.04;0,01;<0.02;0,62;0,2;2;<5;1,1;0,04;0,3;0,42;<0.02;0,05;0,4;11;<0.01;<0.01;<0.01;0,17;0,04;0,2;1,1;<50;3,9;7,5;<0.1;<0.01;0,05;<0.5;<2;0,7;1;<0.05;<0.05;<0.05;0,2;<0.01;0,03;<0.1;<1;<0.1;0,1;<0.1;4;15,9
MR-S-6711;GIJ899;SEDIMENTO CORRENTE;1640;1020;155;840;155;150;96,77;1;0,67;0,09;4,62;5;323;1,6;0,22;3,63;0,14;65,04;15,1;41;<5;30,4;3,28;13,2;3,06;0,04;0,95;35;32;0,34;0,94;0,12;0,99;0,15;11,9;30,2;811;17,7;105;<0.1;0,16;0,58;12,3;<2;2,4;30,3;0,88;0,68;0,09;10,8;0,29;0,48;1,8;62;1,4;19,9;2,1;46;92,7
MR-S-6712;GIJ900;SEDIMENTO CORRENTE;1540;1100;165;930;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;5,41;5;468;2;0,32;2,06;0,35;86,4;13,4;38;5;38,4;3,67;15,7;3,73;0,04;1,18;47,7;39;0,39;0,8;0,09;0,7;0,19;11,9;33,6;671;19,2;137;<0.1;0,03;0,56;16,2;<2;2,8;37,4;0,8;0,86;0,13;12,9;0,3;0,75;1,8;70;1,3;22,9;2,6;53;106
MR-S-6713;GIJ901;SEDIMENTO CORRENTE;725;610;140;440;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;2,34;13;75;1;0,15;1,75;0,3;39,76;7,1;24;<5;24,9;2,1;7,6;1,94;<0.02;0,39;21,5;15;0,18;0,25;0,05;1,16;0,04;6,9;13,3;901;15,9;76,5;<0.1;0,1;0,43;6,6;<2;1,5;231;0,42;0,37;<0.05;7;0,19;0,35;1,2;31;0,8;10,3;1,2;42;58,7
MR-S-6714;GIJ902;SEDIMENTO CORRENTE;2110;1305;235;1050;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;3,88;3;217;1,5;0,25;9,43;0,1;62,83;10,2;26;<5;18,3;2,14;11;2,86;<0.02;0,95;32,1;28;0,27;1,16;0,11;0,33;0,12;8;20,8;458;17,9;87;<0.1;0,04;0,47;10,5;<2;2,2;120;0,51;0,6;<0.05;8,2;0,2;0,44;1,3;40;1;17,3;1,8;40;88
MR-S-6715;GIJ903;SEDIMENTO CORRENTE;1530;1425;70;1350;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;3,9;1;900;0,6;0,07;4,96;0,06;34,14;4,1;11;<5;12,3;2,29;8,5;1,03;<0.02;2,3;17,8;8;0,16;0,43;0,04;1,07;0,8;5,5;9,2;259;16,4;78,9;<0.1;0,02;0,21;5;<2;1,5;175;0,25;0,32;<0.05;3,9;0,21;0,29;0,8;30;0,4;9,7;1,1;18;30,1
